ResourceID,External_Identifier_Type,NMRW_External_Xref,External_Source,ResourceID
307843b4-eddc-43c8-ab7f-7ecadcb2208b,UKHO ID,12552,UK Hydrographic Office,307843b4-eddc-43c8-ab7f-7ecadcb2208b
3173bf4c-b802-4f37-8267-bd604b08828e,UKHO ID,9953,UK Hydrographic Office,3173bf4c-b802-4f37-8267-bd604b08828e
31835442-1e6f-4fde-973c-df58fba855ab,UKHO ID,6994,UK Hydrographic Office,31835442-1e6f-4fde-973c-df58fba855ab
31acb7ed-266f-4c5a-a7da-ae86932eedeb,UKHO ID,8236,UK Hydrographic Office,31acb7ed-266f-4c5a-a7da-ae86932eedeb
31b765a4-0cee-41f6-b552-e40da1554cab,UKHO ID,9896,UK Hydrographic Office,31b765a4-0cee-41f6-b552-e40da1554cab
31c884b9-c2b4-4d8f-928f-d7ff9b2b9b6a,UKHO ID,12545,UK Hydrographic Office,31c884b9-c2b4-4d8f-928f-d7ff9b2b9b6a
3218eabe-6918-4ea0-9f52-c7ea35734d08,UKHO ID,11666,UK Hydrographic Office,3218eabe-6918-4ea0-9f52-c7ea35734d08
32a058e2-49bb-4788-9dfc-bb11d6706d24,UKHO ID,12458,UK Hydrographic Office,32a058e2-49bb-4788-9dfc-bb11d6706d24
342c7b8a-1d79-45b5-986d-e98ef3aeb946,UKHO ID,12522,UK Hydrographic Office,342c7b8a-1d79-45b5-986d-e98ef3aeb946
34e762fd-74a6-4be6-9022-112a3efdeeaa,UKHO ID,7918,UK Hydrographic Office,34e762fd-74a6-4be6-9022-112a3efdeeaa
36d3c381-67ca-4ef7-9bf1-ff0fd0fb1b05,UKHO ID,12476,UK Hydrographic Office,36d3c381-67ca-4ef7-9bf1-ff0fd0fb1b05
372f4c20-7b9c-4f0e-ac45-7353a5a215d1,UKHO ID,7950,UK Hydrographic Office,372f4c20-7b9c-4f0e-ac45-7353a5a215d1
373c8a9c-5a67-4da3-9f99-fd7a16b2bbcd,UKHO ID,12477,UK Hydrographic Office,373c8a9c-5a67-4da3-9f99-fd7a16b2bbcd
37974082-2700-4907-8bcb-0a2247449793,UKHO ID,7390,UK Hydrographic Office,37974082-2700-4907-8bcb-0a2247449793
37e500b4-ad83-4a4a-828b-6da304a7a152,UKHO ID,12079,UK Hydrographic Office,37e500b4-ad83-4a4a-828b-6da304a7a152
3836c7b3-a594-42e4-9904-d1705b2468bd,UKHO ID,10033,UK Hydrographic Office,3836c7b3-a594-42e4-9904-d1705b2468bd
387f3dbf-6495-4ebe-8601-5857a83c49f5,UKHO ID,12011,UK Hydrographic Office,387f3dbf-6495-4ebe-8601-5857a83c49f5
389cffdd-409f-4cda-8811-4ca0dd820ff0,UKHO ID,16127,UK Hydrographic Office,389cffdd-409f-4cda-8811-4ca0dd820ff0
38c87f6c-92cd-4c1d-a5b6-e04bc9398259,UKHO ID,12321,UK Hydrographic Office,38c87f6c-92cd-4c1d-a5b6-e04bc9398259
38e4e94c-50bb-4883-8dfd-3a0d79f1c724,UKHO ID,58214,UK Hydrographic Office,38e4e94c-50bb-4883-8dfd-3a0d79f1c724
397bf11b-c077-471e-9c7a-ce5bb6e7453a,UKHO ID,12468,UK Hydrographic Office,397bf11b-c077-471e-9c7a-ce5bb6e7453a
3a42cb42-e0ac-4c70-a184-1c9042ed91a7,UKHO ID,10094,UK Hydrographic Office,3a42cb42-e0ac-4c70-a184-1c9042ed91a7
3ae8c22c-3acc-486d-bf43-3fd420f5ccf6,UKHO ID,12452,UK Hydrographic Office,3ae8c22c-3acc-486d-bf43-3fd420f5ccf6
3affed44-9421-42df-bd58-88730b884d04,UKHO ID,12089,UK Hydrographic Office,3affed44-9421-42df-bd58-88730b884d04
3b37b3a9-ec05-48d1-b75d-e709cab15db5,UKHO ID,7374,UK Hydrographic Office,3b37b3a9-ec05-48d1-b75d-e709cab15db5
3beea104-a3ca-45e6-ab83-41c8fc31fd49,UKHO ID,12490,UK Hydrographic Office,3beea104-a3ca-45e6-ab83-41c8fc31fd49
3c2399ca-1911-4c29-818e-e621e46ebc9e,UKHO ID,9855,UK Hydrographic Office,3c2399ca-1911-4c29-818e-e621e46ebc9e
3cc92ac9-2d94-420d-85d4-3325081d2235,UKHO ID,12156,UK Hydrographic Office,3cc92ac9-2d94-420d-85d4-3325081d2235
3d634e3c-3535-4b90-a399-4e33b8d65a7b,UKHO ID,8230,UK Hydrographic Office,3d634e3c-3535-4b90-a399-4e33b8d65a7b
3dc17411-ed72-4ac6-9e04-9c355ebfe891,UKHO ID,57613,UK Hydrographic Office,3dc17411-ed72-4ac6-9e04-9c355ebfe891
3de482ae-1e49-4146-8778-04a901596e2b,UKHO ID,7516,UK Hydrographic Office,3de482ae-1e49-4146-8778-04a901596e2b
3e2ecdd7-6881-4ff8-9e5d-051feb1311ab,UKHO ID,11943,UK Hydrographic Office,3e2ecdd7-6881-4ff8-9e5d-051feb1311ab
